,mac,vendor
1369,9c:97:26:49:c3:fd,Technicolor
1370,58:90:43:60:42:24,Sagemcom Broadband Sas
1371,d4:6e:0e:36:de:45,"TP-Link Tech Co, Ltd"
1372,d4:6e:0e:36:de:45,"TP-Link Tech Co, Ltd"
1373,94:46:96:2b:89:2e,BaudTec Corp
1374,24:7f:20:03:5f:a6,Sagemcom Broadband Sas
1375,80:3f:5d:58:6e:d8,Winstars Tech Ltd
1377,04:a1:51:31:d0:f1,Netgear
1378,d4:6e:0e:3f:b7:72,"TP-Link Tech Co, Ltd"
1379,00:26:5a:f9:98:50,D-Link Corp
1380,bc:25:e0:88:9b:c0,"Huawei Tech Co, Ltd"
1381,00:1e:58:3d:3e:a7,D-Link Corp
1382,00:26:5a:b2:1b:d0,D-Link Corp
1383,ac:07:5f:61:d6:00,"Huawei Tech Co, Ltd"
1384,d4:6e:0e:e6:6a:4e,"TP-Link Tech Co, Ltd"
1385,9c:3d:cf:01:1a:82,Netgear
1386,9c:3d:cf:01:1a:83,Netgear
1387,94:46:96:2b:89:2e,BaudTec Corp
1388,1c:b7:2c:c1:44:70,ASUSTek Computer Inc
1389,b8:3a:08:18:21:51,"Tenda Tech Co, LtdDongguan branch"
1390,50:c7:bf:16:69:80,"TP-Link Tech Co, Ltd"
1391,70:4f:57:c6:c5:84,"TP-Link Tech Co, Ltd"
1392,d4:61:2e:76:9c:80,"Huawei Tech Co, Ltd"
1393,bc:ee:7b:c4:c4:ec,ASUSTek Computer Inc
1394,00:26:5a:b2:1b:d0,D-Link Corp
1395,ac:07:5f:61:d5:fe,"Huawei Tech Co, Ltd"
1396,b0:4e:26:46:9b:6c,"TP-Link Tech Co, Ltd"
1397,80:ea:96:f3:95:36,"Apple, Inc"
1398,bc:ee:7b:c4:c4:e8,ASUSTek Computer Inc
1399,80:ea:96:f3:95:37,"Apple, Inc"
1400,10:7b:44:b5:ad:88,ASUSTek Computer Inc
1401,80:ea:96:f3:95:36,"Apple, Inc"
1402,a4:2b:8c:02:f5:20,Netgear
1404,1c:5f:2b:fd:58:78,D-Link International
1405,00:25:42:82:96:55,Pittasoft
1406,8c:3b:ad:13:94:f3,Netgear
1407,00:25:42:82:96:55,Pittasoft
1408,e8:65:49:38:c8:14,"Cisco Systems, Inc"
1409,e8:65:49:38:c8:14,"Cisco Systems, Inc"
1410,00:c8:8b:60:81:74,"Cisco Systems, Inc"
1411,e8:65:49:38:c8:1b,"Cisco Systems, Inc"
1413,00:25:42:82:96:55,Pittasoft
1414,00:2a:10:f3:ab:3b,"Cisco Systems, Inc"
1415,00:25:42:82:96:55,Pittasoft
1416,84:3d:c6:0a:1a:54,"Cisco Systems, Inc"
1417,00:2a:10:f3:ab:34,"Cisco Systems, Inc"
1419,84:3d:c6:06:0f:d4,"Cisco Systems, Inc"
1420,00:f2:8b:27:0e:64,"Cisco Systems, Inc"
1421,e8:65:49:11:3b:34,"Cisco Systems, Inc"
1422,00:f2:8b:27:0e:6b,"Cisco Systems, Inc"
1423,14:d6:4d:4b:00:46,D-Link International
1424,14:d6:4d:4b:00:46,D-Link International
1425,50:56:bf:1f:66:d3,"Samsung Electronics Co, Ltd"
1426,00:f2:8b:27:0e:64,"Cisco Systems, Inc"
1427,e8:65:49:45:2c:b4,"Cisco Systems, Inc"
1428,00:f2:8b:27:0e:6b,"Cisco Systems, Inc"
1429,50:56:bf:1f:66:d3,"Samsung Electronics Co, Ltd"
1431,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1432,e8:65:49:38:b1:34,"Cisco Systems, Inc"
1434,7c:dd:90:87:d2:5b,"Shenzhen Ogemray Tech Co, Ltd"
1436,50:56:bf:1f:66:d3,"Samsung Electronics Co, Ltd"
1437,84:3d:c6:09:fe:34,"Cisco Systems, Inc"
1440,00:2a:10:f4:c8:fb,"Cisco Systems, Inc"
1442,84:3d:c6:0a:07:44,"Cisco Systems, Inc"
1443,84:3d:c6:0a:07:4b,"Cisco Systems, Inc"
1444,e8:65:49:45:41:6b,"Cisco Systems, Inc"
1445,e8:65:49:04:93:a4,"Cisco Systems, Inc"
1446,e8:65:49:45:2b:34,"Cisco Systems, Inc"
1447,e8:65:49:04:93:ab,"Cisco Systems, Inc"
1448,e8:65:49:04:93:ab,"Cisco Systems, Inc"
1449,fc:5b:39:6f:71:bb,"Cisco Systems, Inc"
1450,00:2a:10:f3:a6:d4,"Cisco Systems, Inc"
1451,00:2a:10:f3:a6:db,"Cisco Systems, Inc"
1452,00:2a:10:f4:c8:f4,"Cisco Systems, Inc"
1453,00:c8:8b:60:81:7b,"Cisco Systems, Inc"
1455,cc:16:7e:df:00:3b,"Cisco Systems, Inc"
1456,84:3d:c6:09:fe:34,"Cisco Systems, Inc"
1457,e8:65:49:38:b1:34,"Cisco Systems, Inc"
1458,00:2a:10:20:c5:0b,"Cisco Systems, Inc"
1459,e8:65:49:11:3b:34,"Cisco Systems, Inc"
1460,00:c8:8b:60:82:64,"Cisco Systems, Inc"
1461,e8:65:49:11:3b:3b,"Cisco Systems, Inc"
1463,00:2a:10:20:c5:04,"Cisco Systems, Inc"
1464,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1465,38:90:a5:08:4e:6b,"Cisco Systems, Inc"
1467,e8:65:49:45:2c:b4,"Cisco Systems, Inc"
1468,2c:d0:2d:e2:65:2b,"Cisco Systems, Inc"
1469,2c:d0:2d:e2:65:24,"Cisco Systems, Inc"
1470,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1471,38:90:a5:08:4e:64,"Cisco Systems, Inc"
1472,2c:d0:2d:e2:64:ab,"Cisco Systems, Inc"
1473,84:3d:c6:06:10:cb,"Cisco Systems, Inc"
1474,2c:d0:2d:e2:64:ab,"Cisco Systems, Inc"
1475,2c:d0:2d:e2:64:a4,"Cisco Systems, Inc"
1476,84:3d:c6:06:10:c4,"Cisco Systems, Inc"
1477,2c:d0:2d:e2:65:2b,"Cisco Systems, Inc"
1478,2c:d0:2d:e2:64:a4,"Cisco Systems, Inc"
1479,84:3d:c6:06:10:cb,"Cisco Systems, Inc"
1480,00:2a:10:f4:aa:94,"Cisco Systems, Inc"
1481,00:2a:10:f4:a9:eb,"Cisco Systems, Inc"
1482,00:2a:10:f4:aa:9b,"Cisco Systems, Inc"
1483,2c:d0:2d:e2:65:24,"Cisco Systems, Inc"
1484,00:2a:10:f4:aa:9b,"Cisco Systems, Inc"
1485,00:2a:10:ca:72:6b,"Cisco Systems, Inc"
1486,84:3d:c6:0a:07:b4,"Cisco Systems, Inc"
1487,84:3d:c6:09:ff:fb,"Cisco Systems, Inc"
1488,00:2a:10:f4:aa:9b,"Cisco Systems, Inc"
1489,84:3d:c6:05:de:7b,"Cisco Systems, Inc"
1490,84:3d:c6:0a:0c:64,"Cisco Systems, Inc"
1491,00:2a:10:f4:aa:94,"Cisco Systems, Inc"
1492,84:3d:c6:05:de:7b,"Cisco Systems, Inc"
1493,84:3d:c6:29:8d:b4,"Cisco Systems, Inc"
1494,84:3d:c6:29:8d:bb,"Cisco Systems, Inc"
1495,84:3d:c6:05:de:7b,"Cisco Systems, Inc"
1496,84:3d:c6:35:5c:44,"Cisco Systems, Inc"
1497,00:2a:10:f4:a9:94,"Cisco Systems, Inc"
1498,84:3d:c6:05:de:74,"Cisco Systems, Inc"
1500,84:3d:c6:35:5c:4b,"Cisco Systems, Inc"
1501,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1502,a0:8e:78:64:59:81,Sagemcom Broadband Sas
1503,50:6a:03:e0:c6:f4,Netgear
1504,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1505,00:34:fe:eb:1a:04,"Huawei Tech Co, Ltd"
1506,84:3d:c6:05:de:74,"Cisco Systems, Inc"
1507,38:4b:76:01:91:50,Airtame ApS
1508,84:3d:c6:35:5c:44,"Cisco Systems, Inc"
1509,e8:65:49:45:41:64,"Cisco Systems, Inc"
1510,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1511,84:3d:c6:09:ff:f4,"Cisco Systems, Inc"
1512,00:2a:10:c8:16:34,"Cisco Systems, Inc"
1514,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1515,84:3d:c6:06:10:c4,"Cisco Systems, Inc"
1516,38:90:a5:08:4e:64,"Cisco Systems, Inc"
1517,84:3d:c6:0a:07:bb,"Cisco Systems, Inc"
1518,2c:d0:2d:e2:65:24,"Cisco Systems, Inc"
1519,2c:d0:2d:e2:65:2b,"Cisco Systems, Inc"
1520,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1522,38:90:a5:08:a4:64,"Cisco Systems, Inc"
1523,50:0f:80:ed:71:2b,"Cisco Systems, Inc"
1524,00:2a:10:f4:a8:24,"Cisco Systems, Inc"
1525,50:0f:80:ed:71:24,"Cisco Systems, Inc"
1526,84:3d:c6:0a:07:b4,"Cisco Systems, Inc"
1527,00:2a:10:f4:a8:2b,"Cisco Systems, Inc"
1528,38:90:a5:08:7b:2b,"Cisco Systems, Inc"
1529,38:90:a5:08:7b:24,"Cisco Systems, Inc"
1530,00:2a:10:f4:be:04,"Cisco Systems, Inc"
1531,00:2a:10:13:71:14,"Cisco Systems, Inc"
1532,38:90:a5:08:a4:6b,"Cisco Systems, Inc"
1533,00:25:42:82:96:55,Pittasoft
1534,38:90:a5:08:7b:24,"Cisco Systems, Inc"
1535,38:90:a5:08:a4:6b,"Cisco Systems, Inc"
1536,38:90:a5:08:4e:64,"Cisco Systems, Inc"
1538,00:2a:10:13:71:1b,"Cisco Systems, Inc"
1539,38:90:a5:08:a4:64,"Cisco Systems, Inc"
1540,38:90:a5:08:7b:2b,"Cisco Systems, Inc"
1541,3c:95:09:d3:69:8d,Liteon Tech Corp
1542,00:2a:10:c8:16:34,"Cisco Systems, Inc"
1543,84:3d:c6:0a:15:8b,"Cisco Systems, Inc"
1544,d4:61:2e:50:6a:33,"Huawei Tech Co, Ltd"
1545,84:3d:c6:06:04:c4,"Cisco Systems, Inc"
1546,84:3d:c6:06:0d:54,"Cisco Systems, Inc"
1547,00:42:68:9c:2d:e4,"Cisco Systems, Inc"
1548,00:42:68:9c:2d:eb,"Cisco Systems, Inc"
1549,00:42:68:74:b1:7b,"Cisco Systems, Inc"
1550,00:42:68:74:b1:74,"Cisco Systems, Inc"
1551,c8:d7:19:33:3a:12,"Cisco-Linksys, Llc"
1552,20:f8:5e:c2:34:58,Delta Electronics
1553,c8:d7:19:33:3a:14,"Cisco-Linksys, Llc"
1554,00:78:88:69:08:74,"Cisco Systems, Inc"
1555,00:42:68:81:dc:d4,"Cisco Systems, Inc"
1556,00:78:88:cc:c9:a4,"Cisco Systems, Inc"
1557,00:42:68:81:dc:db,"Cisco Systems, Inc"
1558,00:42:68:74:b1:7b,"Cisco Systems, Inc"
1559,00:42:68:81:d6:e4,"Cisco Systems, Inc"
1560,c8:d7:19:33:3a:14,"Cisco-Linksys, Llc"
1561,20:f8:5e:c0:e4:81,Delta Electronics
1562,00:42:68:6e:58:0b,"Cisco Systems, Inc"
1563,00:0e:8e:6c:3c:2c,"SparkLAN Communications, Inc"
1564,c8:d7:19:33:3a:50,"Cisco-Linksys, Llc"
1565,00:42:68:74:b1:74,"Cisco Systems, Inc"
1566,00:42:68:81:d6:e4,"Cisco Systems, Inc"
1567,00:42:68:81:d6:eb,"Cisco Systems, Inc"
1568,00:42:68:13:76:4b,"Cisco Systems, Inc"
1569,00:78:88:3c:e4:0b,"Cisco Systems, Inc"
1570,00:78:88:e8:4d:4b,"Cisco Systems, Inc"
1571,00:78:88:fe:60:4b,"Cisco Systems, Inc"
1572,00:42:68:6e:58:0b,"Cisco Systems, Inc"
1573,00:42:68:81:dc:db,"Cisco Systems, Inc"
1574,00:0e:8e:6c:3c:2c,"SparkLAN Communications, Inc"
1575,00:78:88:e8:4d:44,"Cisco Systems, Inc"
1576,c8:d7:19:33:3a:4e,"Cisco-Linksys, Llc"
1577,00:78:88:69:08:7b,"Cisco Systems, Inc"
1578,00:78:88:cc:be:7b,"Cisco Systems, Inc"
1579,00:78:88:de:6a:5b,"Cisco Systems, Inc"
1580,28:cf:da:b6:ab:68,"Apple, Inc"
1581,00:78:88:cc:c9:ab,"Cisco Systems, Inc"
1583,00:42:68:80:1e:bb,"Cisco Systems, Inc"
1584,00:42:68:74:b1:7b,"Cisco Systems, Inc"
1585,00:42:68:13:76:44,"Cisco Systems, Inc"
1586,20:f8:5e:c2:34:58,Delta Electronics
1587,00:42:68:13:76:4b,"Cisco Systems, Inc"
1588,00:78:88:3c:e4:0b,"Cisco Systems, Inc"
1589,00:42:68:6e:58:04,"Cisco Systems, Inc"
1590,80:ea:96:f0:3e:06,"Apple, Inc"
1591,28:cf:da:b6:ab:67,"Apple, Inc"
1593,00:78:88:fe:29:7b,"Cisco Systems, Inc"
1594,00:42:68:81:d6:e4,"Cisco Systems, Inc"
1595,00:78:88:69:08:74,"Cisco Systems, Inc"
1596,20:f8:5e:c0:e4:81,Delta Electronics
1597,00:78:88:69:08:7b,"Cisco Systems, Inc"
1598,00:42:68:81:dc:d4,"Cisco Systems, Inc"
1599,00:42:68:81:d6:eb,"Cisco Systems, Inc"
1600,00:42:68:13:76:44,"Cisco Systems, Inc"
1601,20:f8:5e:c2:70:40,Delta Electronics
1602,00:78:88:fe:29:7b,"Cisco Systems, Inc"
1603,00:42:68:13:76:4b,"Cisco Systems, Inc"
1604,20:f8:5e:c2:70:40,Delta Electronics
1605,20:f8:5e:c2:34:58,Delta Electronics
1606,00:78:88:3c:e4:04,"Cisco Systems, Inc"
1607,00:78:88:fe:29:7b,"Cisco Systems, Inc"
1608,00:78:88:8f:13:fb,"Cisco Systems, Inc"
1609,00:78:88:69:08:7b,"Cisco Systems, Inc"
1610,00:42:68:81:d6:e4,"Cisco Systems, Inc"
1611,00:78:88:3c:e4:04,"Cisco Systems, Inc"
1613,84:3d:c6:0a:1b:64,"Cisco Systems, Inc"
1614,84:3d:c6:0a:21:d4,"Cisco Systems, Inc"
1615,84:3d:c6:0a:15:8b,"Cisco Systems, Inc"
1616,84:3d:c6:0a:15:84,"Cisco Systems, Inc"
1617,84:3d:c6:0a:15:84,"Cisco Systems, Inc"
1618,00:2a:10:f3:ad:5b,"Cisco Systems, Inc"
1619,00:2a:10:f3:ab:0b,"Cisco Systems, Inc"
1620,00:2a:10:f3:ab:04,"Cisco Systems, Inc"
1621,84:3d:c6:0a:1b:14,"Cisco Systems, Inc"
1622,84:3d:c6:0a:1b:1b,"Cisco Systems, Inc"
1624,38:90:a5:08:7b:24,"Cisco Systems, Inc"
1625,00:2a:10:f4:a8:24,"Cisco Systems, Inc"
1626,38:90:a5:08:7b:2b,"Cisco Systems, Inc"
1628,2c:d0:2d:e2:65:2b,"Cisco Systems, Inc"
1629,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1630,00:2a:10:f3:a9:f4,"Cisco Systems, Inc"
1631,80:d0:9b:b2:ff:53,"Huawei Tech Co, Ltd"
1632,00:2a:10:f4:a9:1b,"Cisco Systems, Inc"
1633,a4:ca:a0:4b:ac:e7,"Huawei Tech Co, Ltd"
1634,84:3d:c6:06:11:04,"Cisco Systems, Inc"
1636,00:2a:10:20:9f:54,"Cisco Systems, Inc"
1637,00:2a:10:f4:a7:e4,"Cisco Systems, Inc"
1638,00:2a:10:f4:a7:eb,"Cisco Systems, Inc"
1639,00:2a:10:20:d4:84,"Cisco Systems, Inc"
1640,84:3d:c6:06:1f:1b,"Cisco Systems, Inc"
1641,00:2a:10:f4:a8:04,"Cisco Systems, Inc"
1642,84:3d:c6:0a:1a:0b,"Cisco Systems, Inc"
1643,00:2a:10:20:9f:54,"Cisco Systems, Inc"
1644,84:3d:c6:0a:15:bb,"Cisco Systems, Inc"
1645,20:f8:5e:d1:82:7e,Delta Electronics
1646,84:3d:c6:06:1f:14,"Cisco Systems, Inc"
1647,10:be:f5:4d:6c:8a,D-Link International
1648,84:3d:c6:06:1f:1b,"Cisco Systems, Inc"
1649,00:2a:10:20:d4:8b,"Cisco Systems, Inc"
1650,84:3d:c6:0a:1a:0b,"Cisco Systems, Inc"
1651,84:3d:c6:0a:15:b4,"Cisco Systems, Inc"
1652,84:3d:c6:06:1f:14,"Cisco Systems, Inc"
1653,84:3d:c6:06:1f:1b,"Cisco Systems, Inc"
1654,84:3d:c6:0a:1a:04,"Cisco Systems, Inc"
1655,84:3d:c6:06:1e:84,"Cisco Systems, Inc"
1656,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1658,84:3d:c6:06:1f:14,"Cisco Systems, Inc"
1659,84:3d:c6:06:1f:1b,"Cisco Systems, Inc"
1660,84:3d:c6:0a:1a:a4,"Cisco Systems, Inc"
1661,20:f8:5e:d1:82:7e,Delta Electronics
1662,84:3d:c6:0a:1a:ab,"Cisco Systems, Inc"
1663,84:3d:c6:0a:15:bb,"Cisco Systems, Inc"
1664,84:3d:c6:0a:1a:0b,"Cisco Systems, Inc"
1665,00:f2:8b:27:0f:04,"Cisco Systems, Inc"
1666,00:2a:10:f4:c1:0b,"Cisco Systems, Inc"
1667,00:2a:10:11:3b:c4,"Cisco Systems, Inc"
1668,84:3d:c6:06:1e:84,"Cisco Systems, Inc"
1669,00:2a:10:11:3b:cb,"Cisco Systems, Inc"
1670,84:3d:c6:06:1e:8b,"Cisco Systems, Inc"
1671,00:2a:10:20:d5:64,"Cisco Systems, Inc"
1672,84:3d:c6:06:1f:0b,"Cisco Systems, Inc"
1673,84:3d:c6:0a:1a:0b,"Cisco Systems, Inc"
1674,00:2a:10:11:3b:cb,"Cisco Systems, Inc"
1675,84:3d:c6:0a:1a:04,"Cisco Systems, Inc"
1676,84:3d:c6:06:1f:04,"Cisco Systems, Inc"
1677,00:2a:10:20:d5:64,"Cisco Systems, Inc"
1678,10:be:f5:4d:6c:8c,D-Link International
1679,00:2a:10:f3:63:a4,"Cisco Systems, Inc"
1680,00:2a:10:20:d5:6b,"Cisco Systems, Inc"
1681,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1683,00:18:f8:32:be:c8,"Cisco-Linksys, Llc"
1684,84:3d:c6:06:1e:84,"Cisco Systems, Inc"
1685,00:2a:10:20:d5:64,"Cisco Systems, Inc"
1686,84:3d:c6:06:1e:8b,"Cisco Systems, Inc"
1687,cc:16:7e:dd:c3:64,"Cisco Systems, Inc"
1688,00:2a:10:f4:c1:04,"Cisco Systems, Inc"
1689,84:3d:c6:06:1f:0b,"Cisco Systems, Inc"
1690,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1692,00:2a:10:f3:b8:c4,"Cisco Systems, Inc"
1693,84:3d:c6:0a:1a:0b,"Cisco Systems, Inc"
1694,84:3d:c6:06:1f:04,"Cisco Systems, Inc"
1696,00:2a:10:1b:14:24,"Cisco Systems, Inc"
1697,00:2a:10:20:d5:6b,"Cisco Systems, Inc"
1698,00:2a:10:f4:c1:0b,"Cisco Systems, Inc"
1699,00:2a:10:f4:c0:44,"Cisco Systems, Inc"
1700,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1701,00:2a:10:11:3b:c4,"Cisco Systems, Inc"
1702,84:3d:c6:06:1e:8b,"Cisco Systems, Inc"
1703,00:2a:10:f4:b8:14,"Cisco Systems, Inc"
1704,00:2a:10:f4:b8:16,"Cisco Systems, Inc"
1705,00:2a:10:1b:14:2b,"Cisco Systems, Inc"
1706,84:3d:c6:06:1f:0b,"Cisco Systems, Inc"
1707,00:18:f8:32:be:c8,"Cisco-Linksys, Llc"
1708,00:2a:10:f4:c1:04,"Cisco Systems, Inc"
1709,00:2a:10:f3:b8:cb,"Cisco Systems, Inc"
1710,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1711,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1712,84:3d:c6:29:8a:7b,"Cisco Systems, Inc"
1713,00:2a:10:f4:c0:4b,"Cisco Systems, Inc"
1714,00:2a:10:f4:c0:44,"Cisco Systems, Inc"
1715,84:3d:c6:29:8a:74,"Cisco Systems, Inc"
1716,00:f2:8b:27:0e:94,"Cisco Systems, Inc"
1717,84:3d:c6:06:21:fb,"Cisco Systems, Inc"
1718,84:3d:c6:06:21:fb,"Cisco Systems, Inc"
1719,00:2a:10:1a:ff:84,"Cisco Systems, Inc"
1720,00:2a:10:1a:ff:8b,"Cisco Systems, Inc"
1721,6c:19:8f:07:87:ba,D-Link International
1722,84:3d:c6:06:27:14,"Cisco Systems, Inc"
1724,00:2a:10:f4:a8:54,"Cisco Systems, Inc"
1725,00:2a:10:f4:bd:14,"Cisco Systems, Inc"
1726,3c:46:d8:82:28:51,"TP-Link Tech Co, Ltd"
1727,00:2a:10:f4:a8:5b,"Cisco Systems, Inc"
1728,6c:19:8f:07:87:ba,D-Link International
1729,84:3d:c6:06:12:eb,"Cisco Systems, Inc"
1730,84:3d:c6:06:21:f4,"Cisco Systems, Inc"
1731,00:2a:10:f4:a8:54,"Cisco Systems, Inc"
1732,84:3d:c6:06:12:e4,"Cisco Systems, Inc"
1733,00:2a:10:f4:a8:5b,"Cisco Systems, Inc"
1734,c0:ee:fb:e1:af:ba,OnePlus Tech (Shenzhen) Ltd
1735,00:c8:8b:60:87:0b,"Cisco Systems, Inc"
1736,00:c8:8b:60:87:04,"Cisco Systems, Inc"
1737,c0:ee:fb:e1:af:ba,OnePlus Tech (Shenzhen) Ltd
1738,cc:16:7e:dd:9b:64,"Cisco Systems, Inc"
1739,cc:16:7e:dd:9b:6b,"Cisco Systems, Inc"
1740,00:c8:8b:45:a1:3b,"Cisco Systems, Inc"
1741,00:c8:8b:45:a0:34,"Cisco Systems, Inc"
1742,00:c8:8b:45:a1:34,"Cisco Systems, Inc"
1744,00:c8:8b:45:a0:34,"Cisco Systems, Inc"
1746,00:c8:8b:26:51:6b,"Cisco Systems, Inc"
1747,00:25:42:82:96:55,Pittasoft
1748,f0:0f:ec:d8:12:c7,"Huawei Tech Co, Ltd"
1749,00:a0:57:16:82:c0,Lancom Systems GmbH
1750,c0:ee:fb:d5:17:57,OnePlus Tech (Shenzhen) Ltd
1752,b0:c5:54:3e:38:68,D-Link International
1754,a0:e0:af:a9:30:45,"Cisco Systems, Inc"
1755,00:a0:57:16:81:c5,Lancom Systems GmbH
1756,00:a0:57:16:83:28,Lancom Systems GmbH
1760,a0:e0:af:87:a8:25,"Cisco Systems, Inc"
1763,a0:e0:af:87:b0:05,"Cisco Systems, Inc"
1765,a0:e0:af:87:b0:05,"Cisco Systems, Inc"
1766,28:6f:7f:3a:2f:e5,"Cisco Systems, Inc"
1767,04:18:d6:82:1e:3c,Ubiquiti Networks Inc
1768,00:2a:10:13:7e:bb,"Cisco Systems, Inc"
1770,00:2a:10:13:7e:b4,"Cisco Systems, Inc"
1771,a8:c8:3a:cb:2f:41,"Huawei Tech Co, Ltd"
1772,00:2a:10:1b:11:44,"Cisco Systems, Inc"
1773,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
1775,00:a0:57:16:81:b6,Lancom Systems GmbH
1777,00:20:a6:5b:98:e4,Proxim Wireless
1779,00:2a:10:20:d5:c4,"Cisco Systems, Inc"
1780,00:a0:57:16:81:c5,Lancom Systems GmbH
1782,a4:56:30:47:0d:54,"Cisco Systems, Inc"
1783,00:2a:10:20:d5:cb,"Cisco Systems, Inc"
1784,00:a0:57:16:83:28,Lancom Systems GmbH
1786,00:2a:10:20:c5:eb,"Cisco Systems, Inc"
1788,54:78:1a:aa:8c:e4,"Cisco Systems, Inc"
1789,00:2a:10:20:d5:cb,"Cisco Systems, Inc"
1793,00:2a:10:1b:11:44,"Cisco Systems, Inc"
1794,04:18:d6:82:1e:3c,Ubiquiti Networks Inc
1795,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
1797,00:20:a6:5b:98:e4,Proxim Wireless
1799,00:2a:10:20:c5:e4,"Cisco Systems, Inc"
1800,dc:9f:db:1c:c2:73,Ubiquiti Networks Inc
1804,44:d9:e7:03:11:81,Ubiquiti Networks Inc
1808,44:d9:e7:03:11:81,Ubiquiti Networks Inc
1810,00:20:a6:5b:98:e3,Proxim Wireless
1811,04:18:d6:82:1e:3c,Ubiquiti Networks Inc
1812,00:20:a6:5b:98:e4,Proxim Wireless
1813,00:2a:10:20:c5:e4,"Cisco Systems, Inc"
1815,dc:9f:db:1c:c2:73,Ubiquiti Networks Inc
1816,44:d9:e7:91:e0:af,Ubiquiti Networks Inc
1820,fc:5b:39:68:60:64,"Cisco Systems, Inc"
1821,14:5f:94:a0:93:cc,"Huawei Tech Co, Ltd"
1822,00:20:a6:5b:98:e4,Proxim Wireless
1823,44:d9:e7:03:11:81,Ubiquiti Networks Inc
1824,dc:9f:db:1c:c4:91,Ubiquiti Networks Inc
1827,00:20:a6:5b:98:e3,Proxim Wireless
1829,80:2a:a8:55:62:d0,Ubiquiti Networks Inc
1831,44:d9:e7:03:11:81,Ubiquiti Networks Inc
1832,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
1833,44:d9:e7:91:e0:af,Ubiquiti Networks Inc
1836,00:20:a6:5b:98:e4,Proxim Wireless
1839,00:2a:10:f3:9c:af,"Cisco Systems, Inc"
1841,78:8a:20:d4:61:01,Ubiquiti Networks Inc
1843,00:2a:10:f3:9c:af,"Cisco Systems, Inc"
1844,94:f6:65:0e:a6:08,Ruckus Wireless
1845,44:d9:e7:03:11:81,Ubiquiti Networks Inc
1848,80:2a:a8:55:62:d0,Ubiquiti Networks Inc
1849,e4:aa:5d:14:90:0b,"Cisco Systems, Inc"
1850,00:c8:8b:11:76:eb,"Cisco Systems, Inc"
1851,44:d9:e7:91:e0:af,Ubiquiti Networks Inc
1854,14:5f:94:a0:93:cc,"Huawei Tech Co, Ltd"
1855,00:c8:8b:11:76:e4,"Cisco Systems, Inc"
1856,fc:5b:39:68:60:64,"Cisco Systems, Inc"
1858,00:c8:8b:45:c6:9b,"Cisco Systems, Inc"
1859,00:c8:8b:45:c6:9b,"Cisco Systems, Inc"
1860,00:c8:8b:45:c6:94,"Cisco Systems, Inc"
1861,00:a0:57:16:81:b6,Lancom Systems GmbH
1863,94:f6:65:0e:a6:0c,Ruckus Wireless
1864,d8:eb:97:a7:38:fa,"TRENDnet, Inc"
1868,78:8a:20:d4:61:01,Ubiquiti Networks Inc
1869,94:f6:65:0e:a6:08,Ruckus Wireless
1870,94:f6:65:0e:a6:0c,Ruckus Wireless
1871,20:f8:5e:cd:2e:b6,Delta Electronics
1873,00:c8:8b:11:76:24,"Cisco Systems, Inc"
1874,00:c8:8b:13:e8:54,"Cisco Systems, Inc"
1876,fc:5b:39:68:60:6b,"Cisco Systems, Inc"
1878,94:f6:65:0e:a6:08,Ruckus Wireless
1879,78:8a:20:d4:61:01,Ubiquiti Networks Inc
1880,fc:5b:39:68:60:64,"Cisco Systems, Inc"
1881,00:c8:8b:11:76:24,"Cisco Systems, Inc"
1883,78:8a:20:d5:61:01,Ubiquiti Networks Inc
1885,00:c8:8b:1c:66:c4,"Cisco Systems, Inc"
1887,78:8a:20:d5:61:01,Ubiquiti Networks Inc
1888,00:c8:8b:45:bf:64,"Cisco Systems, Inc"
1889,00:c8:8b:1c:66:cb,"Cisco Systems, Inc"
1891,00:c8:8b:45:bf:6b,"Cisco Systems, Inc"
1892,80:2a:a8:54:62:d0,Ubiquiti Networks Inc
1893,00:19:5b:dd:67:58,D-Link Corp
1894,84:3d:c6:06:05:f0,"Cisco Systems, Inc"
1895,00:25:42:82:96:55,Pittasoft
1896,34:a8:4e:ba:92:44,"Cisco Systems, Inc"
1897,00:c8:8b:11:76:e4,"Cisco Systems, Inc"
1898,6c:b0:ce:f7:be:62,Netgear
